category,nct,status,enrollment,enrollment_type,sponsor,phase,title,why_stopped,conditions,start,last_update
제조 실패·중단,NCT02419170,WITHDRAWN,0,ACTUAL,Washington University School of Medicine,EARLY_PHASE1,Mature Dendritic Cell Vaccination Against Unique Immunogenic Peptides in Patients With Non Small Cell Lung Cancer (NSCLC),Investigator who manufactured the vaccine left the university.,"Carcinoma, Non-Small-Cell-Lung; Non-Small Cell Lung Cancer; Nonsmall Cell Lung Cancer",2016-07,2016-07-18
제조 실패·중단,NCT03121677,TERMINATED,4,ACTUAL,Washington University School of Medicine,PHASE1,Personalized Tumor Vaccine Strategy and PD-1 Blockade in Patients With Follicular Lymphoma,Vaccine manufacturing has been suspended,Follicular Lymphoma,2018-10-16,2023-08-14
제조 실패·중단,NCT03199040,TERMINATED,18,ACTUAL,Washington University School of Medicine,PHASE1,Neoantigen DNA Vaccine Alone vs. Neoantigen DNA Vaccine Plus Durvalumab in Triple Negative Breast Cancer Patients Following Standard of Care Therapy,Drugs/equipment unavailable and insufficient funding,Triple Negative Breast Cancer; Triple Negative Breast Neoplasms; TNBC - Triple-Negative Breast Cancer; Triple-negative Breast Carcinoma,2019-07-23,2024-05-28
모집 실패·저조,NCT00082459,TERMINATED,40,,Agenus Inc.,PHASE2,"Trial to Compare the Routes of Administration of an Investigational, Personalized, Therapeutic Cancer Vaccine Oncophage (HSPPC-96) in Patients With Metastatic Renal Cell Carcinoma",Lack of enrollment,Renal Cell Carcinoma,2002-07,2012-09-07
모집 실패·저조,NCT03480152,TERMINATED,5,ACTUAL,National Cancer Institute (NCI),"PHASE1,PHASE2","Messenger RNA (mRNA)-Based, Personalized Cancer Vaccine Against Neoantigens Expressed by the Autologous Cancer",slow accrual,Melanoma; Colon Cancer; Gastrointestinal Cancer; Genitourinary Cancer; Hepatocellular Cancer,2018-05-18,2020-06-02
모집 실패·저조,NCT03671720,WITHDRAWN,0,ACTUAL,Capital Medical University,EARLY_PHASE1,Personalized Vaccine Generated by Autologous Dendritic Cells Pulsed With Autologous Whole Tumor Cell Lysate Treat Advanced Solid Tumor Patients With High Tumor Mutation Burden,No participants enrolled,Advanced Cancer; Metastatic Cancer,2018-09-11,2024-02-07
모집 실패·저조,NCT04336943,TERMINATED,6,ACTUAL,University of Washington,PHASE2,Durvalumab and Olaparib for the Treatment of Prostate Cancer in Men Predicted to Have a High Neoantigen Load,Slow accrual,Biochemically Recurrent Prostate Carcinoma; Prostate Adenocarcinoma,2021-04-13,2025-08-11
모집 실패·저조,NCT04923802,TERMINATED,13,ACTUAL,"GeneCast Biotechnology Co., Ltd.",,Multi-Omics Testing for Immunotherapy Efficacy Evaluation (MOTIVATION),Unable to recruit sufficient numbers of patients,Non-small Cell Lung Cancer; Neoantigen; Next-generation Sequencing; Biomarker,2021-06-24,2024-03-08
모집 실패·저조,NCT05641545,TERMINATED,1,ACTUAL,SLK Kliniken Heilbronn GmbH,PHASE1,IVAC-RCC-001: A Personalized Neoantigen Vaccine as Add-on to Standard of Care Checkpoint Inhibitor in Advanced/Metastatic RCC Patients,Premature discontinuation due to üoor participant recruitment,Advanced Renal Cell Carcinoma,2022-10-17,2024-09-19
자금 중단,NCT03122106,TERMINATED,15,ACTUAL,Washington University School of Medicine,PHASE1,Neoantigen DNA Vaccine in Pancreatic Cancer Patients Following Surgical Resection and Adjuvant Chemotherapy,Loss of funding,Pancreatic Cancer; Pancreas Cancer; Cancer of the Pancreas,2018-01-05,2023-10-10
자금 중단,NCT03166254,WITHDRAWN,0,ACTUAL,Washington University School of Medicine,PHASE1,Personalized Therapeutic Anti-tumor Vaccine With Pembrolizumab and Standard of Care Chemotherapy in Squamous Non-Small Cell Lung Cancer and Extensive Stage Small Cell Lung Cancer,Lost funding,Non Small Cell Lung Cancer; NSCLC; Non-small Cell Lung Cancer; Small Cell Lung Extensive Stage,2019-04-30,2019-04-12
자금 중단,NCT03956056,TERMINATED,12,ACTUAL,Washington University School of Medicine,PHASE1,Neoantigen Peptide Vaccine Strategy in Pancreatic Cancer Patients Following Surgical Resection and Adjuvant Chemotherapy,Insufficient funding/staff,Pancreas Cancer; Pancreatic Cancer; Cancer of the Pancreas,2020-02-13,2024-07-17
자금 중단,NCT05153304,WITHDRAWN,0,ACTUAL,"University of California, San Diego","PHASE1,PHASE2",Personalized Immunotherapy in Adults With Upper Gastrointestinal Tract Cancers,funding,Cancer of Gastrointestinal Tract,2024-06,2024-06-10
자금 중단,NCT05194735,TERMINATED,8,ACTUAL,Alaunos Therapeutics,"PHASE1,PHASE2",Phase I/II Study of Autologous T Cells to Express T-Cell Receptors (TCRs) in Subjects With Solid Tumors,Funding,Gynecologic Cancer; Colorectal Cancer; Pancreatic Cancer; Non-small Cell Lung Cancer; Cholangiocarcinoma; Ovarian Cancer; Endometrial Cancer; Ovarian Carcinoma; Ovary Neoplasm; Squamous Cell Lung Cancer; Adenocarcinoma of Lung; Adenosquamous Cell Lung Cancer,2022-04-04,2025-11-10
사업적 판단·우선순위,NCT03970382,SUSPENDED,21,ACTUAL,"PACT Pharma, Inc.",PHASE1,A Study of Gene Edited Autologous Neoantigen Targeted TCR T Cells With or Without Anti-PD-1 in Patients With Solid Tumors,Business decision,Solid Tumor,2019-07-03,2022-08-18
사업적 판단·우선순위,NCT05124743,TERMINATED,19,ACTUAL,Alaunos Therapeutics,,HLA Typing & Tumor Neoantigen Identification for Phase I/II Study of Autologous TCR-T Cells in Subjects With Solid Tumors,"TCR001-002 protocol was combined with TCR001-201 protocol, which was terminated due to business decisions.",Ovarian Cancer; Endometrial Cancer; Colo-rectal Cancer; Cholangiocarcinoma; Non-small Cell Lung Cancer; Pancreas Cancer,2021-09-24,2025-07-30
사업적 판단·우선순위,NCT05456165,WITHDRAWN,0,ACTUAL,"Gritstone bio, Inc.",PHASE2,Study of an Individualized Vaccine Targeting Neoantigens in Combination With Immune Checkpoint Blockade for Patients With Colon Cancer,terminated due to reprioritization,Colonic Neoplasms; Colorectal Neoplasms,2022-05-19,2024-12-31
운영·인력·규제절차,NCT01995227,WITHDRAWN,0,ACTUAL,"Mirror Biologics, Inc.","PHASE1,PHASE2",An Individualized Anti-Cancer Vaccine Study in Patients With HCC,Study site change to Thailand,Hepatocellular Carcinoma,2013-12,2020-01-22
운영·인력·규제절차,NCT03598816,WITHDRAWN,0,ACTUAL,Washington University School of Medicine,PHASE2,PolyImmune {Durvalumab (MEDI4736) and Tremelimumab} & Vaccine Orchestrated Treatment for Patients With Advanced/Metastatic Renal Cell Carcinoma,FDA Contingencies unresolved,Renal Cell Carcinoma,2020-08-31,2020-08-13
기타·불명,NCT02427581,WITHDRAWN,0,ACTUAL,Washington University School of Medicine,PHASE1,Safety and Immunogenicity of a Personalized Synthetic Long Peptide Breast Cancer Vaccine Strategy in Patients With Persistent Triple-Negative Breast Cancer Following Neoadjuvant Chemotherapy,Drugs not available,Triple Negative Breast Cancer; Triple Negative Breast Neoplasms; Triple-Negative Breast Cancer,2015-09-29,2022-03-10
기타·불명,NCT03068832,WITHDRAWN,0,ACTUAL,Washington University School of Medicine,PHASE1,Neoepitope-based Personalized Vaccine Approach in Pediatric Patients With Recurrent Brain Tumors,Made the decision to not go forward with the study,Pediatric Brain Tumor,2021-09-30,2021-05-25
기타·불명,NCT04266730,SUSPENDED,6,ESTIMATED,UNC Lineberger Comprehensive Cancer Center,PHASE1,Trial of a Personalized and Adaptive Neoantigen Dose-Adjusted Vaccine Concurrently With Pembrolizumab,Not stated,Squamous Cell Lung Cancer; Squamous Non-small Cell Lung Cancer; Squamous Cell Carcinoma of Head and Neck,2027-05-20,2026-04-23
