nct,title,status,why_stopped,phase,enrollment,enrollment_type,allocation,masking,purpose,start,primary_completion,completion,first_posted,last_update,sponsor,collaborators,conditions,interventions,primary_outcome,countries,has_korea
NCT01686334,Efficacy Study of Dendritic Cell Vaccination in Patients With Acute Myeloid Leukemia in Remission,ACTIVE_NOT_RECRUITING,,PHASE2,130,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2012-10,2025-12,2027-12,2012-09-18,2024-03-12,Zwi Berneman,Kom Op Tegen Kanker; Stichting tegen Kanker; Research Foundation Flanders,Acute Myeloid Leukemia,DC vaccine,Overall survival,Belgium,
NCT02287428,Personalized NeoAntigen Cancer Vaccine w RT Plus Pembrolizumab for Patients With Newly Diagnosed GBM,ACTIVE_NOT_RECRUITING,,PHASE1,56,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2014-11,2027-02,2028-02,2014-11-10,2026-04-17,Dana-Farber Cancer Institute,The Ben & Catherine Ivy Foundation; Accelerate Brain Cancer Cure; Merck Sharp & Dohme LLC; National Institutes of Health (NIH),Glioblastoma,Radiation Therapy; Personalized NeoAntigen Peptides; Pembrolizumab; Temozolomide; Temozolomide; Poly-ICLC,"Cohorts 1, 1a, 1b, & 1c: Number of participants with Adverse Events as a measure of safety and tolerability; Cohorts 1d: Number of participants with Adverse Events as a measure of safety and tolerability; Cohort 1: Number of participants with at least 10 actionable peptides as a measure of study feasibility; Cohort 1: Number of participants who are clinically able to initiate post-RT vaccine thera",United States,
NCT02649582,Adjuvant Dendritic Cell-immunotherapy Plus Temozolomide in Glioblastoma Patients,ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",20,ACTUAL,NA,NONE,TREATMENT,2015-12,2027-07,2027-07,2016-01-07,2026-06-04,"University Hospital, Antwerp",,Glioblastoma Multiforme of Brain,Dendritic cell vaccine plus temozolomide chemotherapy,Overall survival,Belgium,
NCT02883062,"Carboplatin and Paclitaxel With or Without Atezolizumab Before Surgery in Treating Patients With Newly Diagnosed, Stage II-III Triple-Negative Breast Cancer",ACTIVE_NOT_RECRUITING,,PHASE2,67,ACTUAL,RANDOMIZED,NONE,TREATMENT,2017-08-02,2019-12-18,2026-09-11,2016-08-30,2026-07-31,National Cancer Institute (NCI),,Invasive Breast Carcinoma; Stage II Breast Cancer AJCC v6 and v7; Stage III Breast Cancer AJCC v7; Triple-Negative Breast Carcinoma,Atezolizumab; Biospecimen Collection; Carboplatin; Lumpectomy; Mastectomy; Paclitaxel,Change in Tumor Infiltrating Lymphocyte (TIL) Percentage; Pathologic Complete Response (pCR) Rate,United States,
NCT02950766,NeoVax Plus Ipilimumab in Renal Cell Carcinoma,ACTIVE_NOT_RECRUITING,,PHASE1,19,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2019-03-03,2027-12-31,2030-05-30,2016-11-01,2026-02-03,"Patrick Ott, MD, PhD","Bristol-Myers Squibb; Oncovir, Inc.",Kidney Cancer,NeoVax; Ipilimumab,Number of participants with dose-limiting toxicity (DLT) experienced within 49 days (7 weeks) of treatment initiation as assessed by CTCAE v4.0,United States,
NCT03223103,Safety and Immunogenicity of Personalized Genomic Vaccine and Tumor Treating Fields (TTFields) to Treat Glioblastoma,ACTIVE_NOT_RECRUITING,,PHASE1,13,ACTUAL,NA,NONE,TREATMENT,2018-03-01,2029-05-12,2029-05-12,2017-07-19,2025-09-10,Adilia Hormigo,NovoCure Ltd.,Glioblastoma,Poly-ICLC; Tumor Treating Fields; Peptides,Dose-limiting toxicities (DLT); Feasibility of Personalized MTA vaccine administration,United States,
NCT03313778,"Safety, Tolerability, and Immunogenicity of mRNA-4157 Alone and in Combination in Participants With Solid Tumors",ACTIVE_NOT_RECRUITING,,PHASE1,161,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2017-08-14,2027-11-21,2027-11-21,2017-10-18,2026-03-04,"ModernaTX, Inc.",Merck Sharp & Dohme LLC,Solid Tumors,mRNA-4157; Pembrolizumab; SoC Treatment,Number of Participants with Adverse Events,Australia; Japan; United Kingdom; United States,
NCT03361852,Personalized Neoantigen Cancer Vaccine + Pembrolizumab After Rituximab for Follicular Lymphoma,ACTIVE_NOT_RECRUITING,,PHASE1,20,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2022-03-14,2026-12-31,2033-12-26,2017-12-05,2026-03-25,Dana-Farber Cancer Institute,,Follicular Lymphoma,Rituximab; Neo Vax; Pembrolizumab,Feasibility of Neovax following 4 weekly doses of rituximab assessed by the following,United States,
NCT03604978,Nivolumab and Multi-fraction Stereotactic Radiosurgery With or Without Ipilimumab in Treating Patients With Recurrent Grade II-III Meningioma,ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",38,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2019-06-17,2027-03-19,2027-03-19,2018-07-30,2026-07-31,National Cancer Institute (NCI),,Grade 2 Meningioma; Grade 3 Meningioma; Recurrent Meningioma,Biospecimen Collection; Echocardiography Test; Ipilimumab; Magnetic Resonance Imaging; Nivolumab; Stereotactic Radiosurgery,Maximum tolerated combination of radiosurgery and nivolumab plus or minus ipilimumab (Phase I); Incidence of adverse event profile (Phase I); Objective response rate (Phase II); Objective radiological response (Phase II),United States,
NCT03655002,"IRX-2, Cyclophosphamide, and Nivolumab in Treating Patients With Recurrent or Metastatic and Refractory Liver Cancer",ACTIVE_NOT_RECRUITING,,PHASE1,8,ACTUAL,NA,NONE,TREATMENT,2019-02-21,2027-03-02,2027-03-02,2018-08-31,2026-04-20,City of Hope Medical Center,National Cancer Institute (NCI),Recurrent Hepatocellular Carcinoma; Refractory Liver Carcinoma; Stage IV Hepatocellular Carcinoma AJCC v8; Stage IVA Hepatocellular Carcinoma AJCC v8; Stage IVB Hepatocellular Carcinoma AJCC v8,Cyclophosphamide; Cytokine-based Biologic Agent IRX-2; Nivolumab,Recommended phase II dose; Incidence of adverse events,United States,
