label,value,unit,caveat,rid,agent
autogene cevumeran PDAC 1상 수술→첫 백신 투여 중앙시간,9.4,주 (범위 7.4-11.0),프로토콜 벤치마크 9주에 3일 이내로 맞춘 설계값이며 달성 최적치가 아님. 단일기관 n=16,R800,C1
autogene cevumeran 최상 사례 제조 TAT (검체 수령·승인→제조 종료),28,일,'최상 사례'이며 중앙값 미공개. 수술·수송·QC 출하·현장 배송 제외,R802,C1
BioNTech 공시 TAT (서열 확정→출하 제품),30-40,일,"FY2024 20-F 공시. FY2025에서 삭제됨. QC 출하 포함, 시퀀싱 이전 구간 제외",R883,C1
BioNTech 상업 제조 목표 TAT,<28,일,2021년 30일 미만을 '시연'했다고만 기재 — 일상적 달성 아님,R882,C1
BioNTech 개인맞춤 면역치료제 전달시간 (2017년 12월 반자동 GMP 도입 이후),<6,주,2014년 3개월 초과에서 개선. 2017년 이후 8년간 추가 개선 미공시,R881,C1
vein-to-vein 중 비제조 구간 비중,57.4,%,[EST] 66일(실제 중앙)과 28일(최상 제조)의 차이. 서로 다른 시험의 수치를 결합한 가정,R803,C1
cevumeran 1상 스크리닝 대비 등록률,38.7,% (213/550명),진행성 고형암 대상이라 진행에 의한 탈락 비중이 큼,R827,C1
'제조 관련 사유'로 스크리닝 탈락한 환자 수,94,명 (550명 중 17.1%),세부 실패 유형(검체·시퀀싱·제조 실패) 미분해,R827,C1
'질병 진행·전신상태 악화'로 스크리닝 탈락,135,명,TAT가 만드는 임상적 손실의 대리지표이나 TAT 귀속분은 분리 불가,R827,C1
검체 제출→핵산 추출 성공률,94.3,% (483/512명),종양함량 10%까지 허용한 조건에서의 수율,R828,C1
신생항원 5개 이상 확인률,98.5,% (448/455명),20개 이상은 367명(81.9%),R828,C1
PDAC 1상 신생항원 부족에 의한 백신 비제조율,5,% (1/19명),저돌연변이 암종에서도 낮음 — 긍정 근거,R829,C1
PDAC 1상 9회 전량 미투여율,19,% (3/16명),사유는 제조실패가 아니라 진행·사망·화학요법 독성,R829,C1
PDAC 1상 등록→백신 투여 전환율,47.1,% (16/34명),감소 대부분은 수술 소견(절제불가)에 기인,R830,C1
PDAC 백신 비반응자 무재발생존 중앙값,13.4,"개월 (HR 0.14, 95% CI 0.03-0.59, P=0.007)",n=8 vs 8 사후 층화. 인과 아닌 상관,R809,C1
PDAC 안전성 평가군 무재발생존 중앙값,18.0,개월,"n=16, 추적 중앙 3.2년",R810,C1
첫 투여 시점의 재발 위험시계 소진율 (비반응자 기준),16.2,% (66일/408일),[EST] 재발 위험 균등분포 가정. 프라이밍 완료(17주)는 29.2%,R811,C1
