program,code,company,platform,indication,nct,phase,setting,n,combo,primary_endpoint,result,immune_response,grade3_ae,discontinuation,data_cutoff,next_readout,status,why_stopped,rid,source_agent
LK101,LK101,Beijing Likang Life Science (北京立康生命科技),(1) 개인맞춤형 신항원 - 수지상세포(DC)에 신항원 mRNA 도입하는 세포 기반 백신. LNP-mRNA와 제조·물류 구조가 근본적으로 다름,진행성 고형암 (초기 IIT는 간암 수술 후),NCT06054932,1상,진행성 및 보조,18 (ESTIMATED),단독,안전성·내약성·면역원성,"IIT(2018, 중국인민해방군총병원 협력)에서 1등급 이상 약물관련 이상반응 0건으로 보고(기업 발표)",미공개,미공개,미공개,미공개,미공개,미공개 (등록정보 UNKNOWN),해당없음,R342,A3
BNT113 (AHEAD-MERIT),BNT113,BioNTech SE,"(3) TAA 백신 - mRNA-리포플렉스, HPV16 E6/E7 바이러스 종양단백질 인코딩. 개인맞춤형 아님",절제불가 재발/전이성 HPV16+ PD-L1+ 두경부 편평세포암 (1차 치료),NCT04534205,2/3상,재발/전이성 1차 치료,350 (ESTIMATED),pembrolizumab 병용 vs pembrolizumab 단독,Part A: TEAE 발생 / Part B: 전체생존(OS) 및 무진행생존(PFS),"안전성 도입부 15명 미확정 ORR 40%(6/15), 노출 중앙값 7개월 (컷오프 2023-12-15). 무작위부 결과 미공개",미공개,미공개 (도입부: 주로 1-3등급 독감유사증상),미공개,2023-12-15 (도입부),1차 완료 예정 2029-04,"진행 (RECRUITING, 2026-07-21 갱신)",해당없음,R304,A3
BNT116 (LuCa-MERIT-1),BNT116,BioNTech SE,"(3) TAA 백신 - mRNA-리포플렉스, 공유 항원 6종(MAGE-A3/CLDN6/KK-LC-1/PRAME/MAGE-A4/MAGE-C1). 개인맞춤형 아님","진행성 비소세포폐암 (다수 코호트: PD-(L)1 불응, 허약, CRT 후, 신보조 등)",NCT05142189,1상,진행성 및 신보조/보조 혼합 (코호트 6),320 (ESTIMATED),단독 / cemiplimab / docetaxel / BNT316(항CTLA-4) / 항B7-H3 ADC / 항HER3 ADC / PD-L1xVEGF-A 이중항체 / osimertinib / ALK·RET TKI,DLT 발생 및 TEAE,미공개,미공개,미공개,미공개,미공개,1차 완료 예정 2030-02,"진행 (RECRUITING, 2026-07-22 갱신)",해당없음,R306,A3
BNT122-01 보조요법 ctDNA+ 대장암 무작위 2상 (대표 판독),BNT122 / RO7198457,"BioNTech SE (리드 스폰서) + Genentech, Inc.",uridine mRNA-lipoplex (RNA-LPX) 개인맞춤 신생항원,"ctDNA 양성 절제 stage II(고위험)/stage III 대장암, 보조요법",NCT04486378,2상,"보조요법, 무작위 공개, 대조군=관찰요법(watchful waiting)",327명 (목표; 2024-11에 229명에서 상향). 무작위 2군 외 바이오마커·탐색적·간전이(CLM) 코호트 3개 별도 포함,단독 (보조 화학요법 후 백신 단독 vs 무치료 관찰),"무병생존(DFS), 중앙 독립 영상 판독",첫 사전계획 중간분석에서 무용성 경계 교차 (2025-11-03 공시). DSMB는 헌장상 종료 권고 의무 발생했으나 데이터 미성숙(중앙 추적 약 9개월)을 이유로 계속. 2026-06 2차 중간분석에서 DSMB '수정 없는 계속' 권고. 수치는 맹검 유지로 전부 미공개,바이오마커 코호트 T세포 반응 분석이 ESMO 2024 초록 29P로 발표 (수치 미확보),"미공개 (DSMB는 '전반적으로 내약성 양호, 새로운 안전성 신호 없음'으로 평가)",미공개,1차 중간분석 시점 중앙 추적 약 9개월,최종분석 2027년 (사건 기반; 2026년에서 연기). PCD 등록정보상 2026-11,"진행 (ACTIVE_NOT_RECRUITING, 2026-04 등록 완료) — 단 1차 중간분석 무용성 경계 교차",해당 없음 (계속 중),R216,A2+A5
autogene cevumeran + atezolizumab + mFOLFIRINOX 보조요법 PDAC 1상 (MSK 주도),BNT122 / RO7198457,BioNTech SE + Genentech/Roche (스폰서: Memorial Sloan Kettering Cancer Center),uridine mRNA-lipoplex (RNA-LPX) 개인맞춤 신생항원 (최대 20개),"절제된 췌장관선암(PDAC), 보조요법",NCT04161755,1상,보조요법 (수술 후),등록 34명 → 수술 28명 → atezolizumab 19명 → 백신 16명 → mFOLFIRINOX 15명 (등록정보 등록수 29명),atezolizumab (항 PD-L1) + mFOLFIRINOX 화학요법,"백신 유도 신생항원 특이 T세포(고역치 assay), 18개월 RFS, 종양학적 실행가능성","백신 면역반응자 8/16 (50%). 반응자 RFS 미도달 vs 비반응자 13.4개월, HR 0.08 (95% CI 0.01-0.4), P=0.003 (18개월 중앙 추적). 3.2년 추적 시 P=0.007 유지. 클론 평균 추정 수명 7.7년, 3년 시점 86% 지속",8/16 (50%) 고역가 신생항원 특이 T세포; 백신 확장 T세포가 전체 혈중 T세포 최대 10%,"백신 3등급 1/16 (6%, 발열·고혈압); atezolizumab 3등급 이상 0/19",미공개,Nature 2023: 18개월 중앙 추적 / Nature 2025: 3.2년 중앙 추적,장기 추적 데이터 (PCD 2026-11-11),"진행 (ACTIVE_NOT_RECRUITING, PCD 2026-11-11)",해당 없음,R200,A2
CVGBM,CVGBM,CureVac,"(3) TAA 백신 - mRNA, 공유 종양항원. 개인맞춤형 아님",신규 진단 MGMT 비메틸화 교모세포종,NCT05938387,1상,신규 진단 (수술 후),37 (ACTUAL),미공개,안전성·내약성,미공개,미공개,미공개,미공개,미공개,미공개,완료,후속 2상 등록 미확인,R351,A3
"ELI-002 (2P, 1상)",ELI-002 2P,Elicio Therapeutics,(2) off-the-shelf 공유 신항원 - Amph-펩타이드 2종(mKRAS),KRAS 변이 췌관선암 및 대장암,NCT04853017,1상,수술 후 보조요법,25 (ACTUAL),단독,안전성,미공개 (등록부),미공개,미공개,미공개,미공개,해당없음,완료,해당없음,R355,A3
GC녹십자 코로나19 mRNA 백신,GC4006A,GC녹십자,mRNA-LNP,COVID-19 예방,미등록(CT.gov),2상 IND 제출,예방,미공개,단독,미공개,1상 결과 승인 완료(수치 미공개),미공개,미공개,미공개,2026-07-27,미공개 (목표: 2028년 품목허가),진행 (질병청·보건산업진흥원 임상2상 지원사업 선정),해당없음,R441,A4
autogene cevumeran 췌장암 2상 IMCODE-003 (한국 7개 기관 참여),BNT122 / RO7198457,"Genentech, Inc. (리드 스폰서) + BioNTech SE",uridine mRNA-lipoplex (RNA-LPX) 개인맞춤 신생항원,보조요법 대장암 / 보조요법 근침습성 요로상피암 / 보조요법 췌관선암,NCT05968326,1상~2상,"보조요법, 무작위 대조",260(NCT05968326) / 62(NCT06534983) / 131(NCT03815058) / 273(NCT03289962),autogene cevumeran + atezolizumab → mFOLFIRINOX vs mFOLFIRINOX 단독,미공개 (A2 모듈 소관),"미공개 (모집 중, 맹검)",미공개,미공개,미공개,2026-08-06,1차 완료 예정 2031-01-01 (2029-05-22 → 2029-12-27 → 2031-01-01로 2회 연기),진행 (RECRUITING),진행성 고형암·1L 흑색종 적응증이 파이프라인에서 소멸,R213,A2+A3+A4
GNOS-PV02 (GT-30),GNOS-PV02 + INO-9012,Geneos Therapeutics,"(1) 개인맞춤형 신항원 - DNA 플라스미드(최대 40개 신항원) + IL-12 인코딩 플라스미드, 전기천공 투여. mRNA 아님",다중 티로신키나아제 억제제 치료 이력이 있는 진행성 간세포암,NCT04251117,1/2a상,진행성 2차 치료,36 (ACTUAL),pembrolizumab 병용,"안전성(CTCAE v5.0) 및 면역원성(IFN-γ ELISpot, 유세포분석)","mITT ORR 30.6% (11/36), CR 8.3% (3/36), PR 8명. 반응은 인코딩 신항원 수와 상관","신항원 특이 T세포 반응 19/22(86.4%, ELISpot). TCRβ 시퀀싱으로 클론 확장 및 종양 침윤 확인",치료관련 3등급 이상 사건 0건; 주사부위 반응 15/36(41.6%),용량제한독성 0건,2024-11-29,무작위 2상 NCT07722741 개시 대기,"완료(1차 완료 2024-11-29, ACTIVE_NOT_RECRUITING)",해당없음,R327,A3
